[meta]
name=First Steps
author=Will + Claude

[level:main]
width=8
height=8
x=0;y=0;tile=wall
x=1;y=0;tile=wall
x=2;y=0;tile=wall
x=3;y=0;tile=wall
x=4;y=0;tile=wall
x=5;y=0;tile=wall
x=6;y=0;tile=wall
x=7;y=0;tile=wall
x=0;y=1;tile=wall
x=1;y=1;tile=floor
x=2;y=1;tile=floor
x=3;y=1;tile=floor
x=4;y=1;tile=floor
x=5;y=1;tile=floor
x=6;y=1;tile=floor
x=7;y=1;tile=wall
x=0;y=2;tile=wall
x=1;y=2;tile=floor
x=2;y=2;tile=floor
x=3;y=2;tile=wall
x=4;y=2;tile=wall
x=5;y=2;tile=floor
x=6;y=2;tile=floor
x=7;y=2;tile=wall
x=0;y=3;tile=wall
x=1;y=3;tile=floor
x=2;y=3;tile=floor;entities=player:id=player
x=3;y=3;tile=floor;entities=crate:id=main_c1
x=4;y=3;tile=floor
x=5;y=3;tile=goal
x=6;y=3;tile=floor
x=7;y=3;tile=wall
x=0;y=4;tile=wall
x=1;y=4;tile=floor
x=2;y=4;tile=floor
x=3;y=4;tile=wall
x=4;y=4;tile=wall
x=5;y=4;tile=floor
x=6;y=4;tile=floor
x=7;y=4;tile=wall
x=0;y=5;tile=wall
x=1;y=5;tile=floor
x=2;y=5;tile=floor
x=3;y=5;tile=floor
x=4;y=5;tile=floor
x=5;y=5;tile=floor
x=6;y=5;tile=floor
x=7;y=5;tile=wall
x=0;y=6;tile=wall
x=1;y=6;tile=floor
x=2;y=6;tile=floor
x=3;y=6;tile=floor
x=4;y=6;tile=floor
x=5;y=6;tile=floor
x=6;y=6;tile=floor
x=7;y=6;tile=wall
x=0;y=7;tile=wall
x=1;y=7;tile=wall
x=2;y=7;tile=wall
x=3;y=7;tile=wall
x=4;y=7;tile=wall
x=5;y=7;tile=wall
x=6;y=7;tile=wall
x=7;y=7;tile=wall
[meta]
name=Warehouse
author=Will + Claude

[level:main]
width=9
height=9
x=0;y=0;tile=wall
x=1;y=0;tile=wall
x=2;y=0;tile=wall
x=3;y=0;tile=wall
x=4;y=0;tile=wall
x=5;y=0;tile=wall
x=6;y=0;tile=wall
x=7;y=0;tile=wall
x=8;y=0;tile=wall
x=0;y=1;tile=wall
x=1;y=1;tile=floor
x=2;y=1;tile=floor
x=3;y=1;tile=floor
x=4;y=1;tile=floor
x=5;y=1;tile=floor
x=6;y=1;tile=floor
x=7;y=1;tile=floor
x=8;y=1;tile=wall
x=0;y=2;tile=wall
x=1;y=2;tile=floor
x=2;y=2;tile=floor
x=3;y=2;tile=wall
x=4;y=2;tile=wall
x=5;y=2;tile=wall
x=6;y=2;tile=floor
x=7;y=2;tile=floor
x=8;y=2;tile=wall
x=0;y=3;tile=wall
x=1;y=3;tile=floor
x=2;y=3;tile=floor
x=3;y=3;tile=goal
x=4;y=3;tile=floor
x=5;y=3;tile=floor;entities=crate:id=main_c1
